key,display_code,title,conflicts_found,resolution_applied,sources
IS 73,IS 73:2013,Paving Bitumen - Specification,"edition_year differs across sources: sp21=1992, sure=2013 | full text is from edition 1992 but latest known edition is 2013","kept edition_year=2013 as current; full_text is from 1992 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 210,IS 210:2009,Grey Iron Castings — Specification,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,bis_ai_db | normai
IS 269,IS 269:2015,"Ordinary Portland Cement, 33 Grade — Specification","edition_year differs across sources: sp21=1989, sure=2015, sih108=2015, normai=2015, bis_rules=2015 | full text is from edition 1989 but latest known edition is 2015","kept edition_year=2015 as current; full_text is from 1989 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108 | sih108_demo | normai | bis_rules
IS 277,IS 277:2018,Galvanized Steel Sheets (Plain and Corrugated) - Specification,"edition_year differs across sources: sp21=2003, sure=2018 | full text is from edition 2003 but latest known edition is 2018","kept edition_year=2018 as current; full_text is from 2003 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108_demo | bis_ai_db | bis_ai_targets
IS 280,IS 280:2006,Mild Steel Wire for General Engineering Purposes (Binding Wire),"edition_year differs across sources: sp21=1978, sure=2006 | full text is from edition 1978 but latest known edition is 2006","kept edition_year=2006 as current; full_text is from 1978 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 383,IS 383:2016,Coarse and Fine Aggregate for Concrete — Specification,"edition_year differs across sources: sp21=1970, normai=2016 | mandatory-certification evidence conflicts | full text is from edition 1970 but latest known edition is 2016","kept edition_year=2016 as current; full_text is from 1970 — flagged edition_mismatch, do not treat quoted clause numbers as current | certification status left as null/disputed — verify manually before demo",sp21 | sih108_demo | bis_ai_db | normai
IS 455,IS 455:2015,Portland Slag Cement — Specification,"edition_year differs across sources: sp21=1989, sure=2015, bis_ai_db=2015, normai=1989, bis_rules=2015 | full text is from edition 1989 but latest known edition is 2015","kept edition_year=2015 as current; full_text is from 1989 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db | normai | bis_rules
IS 458,IS 458:2021,Precast Concrete Pipes (With and Without Reinforcement) - Specification,"edition_year differs across sources: sp21=2003, sure=2021 | full text is from edition 2003 but latest known edition is 2021","kept edition_year=2021 as current; full_text is from 2003 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure
IS 616,IS 616:2017,Application Guide for Bright Rolled Steel Furniture Strip,"edition_year differs across sources: sure=2017, bis_ai_db=2017, normai=1990, bis_rules=2017 | titles share no words across sources - one source may have the wrong title for this code | mandatory-certification evidence conflicts",certification status left as null/disputed — verify manually before demo,sure | bis_ai_db | normai | bis_rules
IS 694,IS 694:2010,PVC Insulated Cables for Working Voltages up to and Including 1100 V,"edition_year differs across sources: sp21=1990, sure=2010, sih108=2010, bis_ai_db=2010, normai=2010, bis_rules=2010 | full text is from edition 1990 but latest known edition is 2010","kept edition_year=2010 as current; full_text is from 1990 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108 | sih108_demo | bis_ai_db | bis_ai_targets | normai | bis_rules
